Matrix Size (n),Seconds,GFLOPS,Precision
2000, 1.049233, 15.249231,Single
2000, 1.087040, 14.718873,Double
2500, 1.190929, 26.240012,Single
2500, 1.478380, 21.138000,Double
3000, 1.386131, 38.957364,Single
3000, 1.275535, 42.335168,Double
3500, 1.312754, 65.320689,Single
3500, 1.350928, 63.474897,Double
4000, 1.545536, 82.819190,Single
4000, 1.444538, 88.609674,Double
4500, 1.554391, 117.248497,Single
4500, 1.563056, 116.598508,Double
5000, 1.898619, 131.674685,Single
5000, 1.709938, 146.204109,Double
5500, 1.727014, 192.673555,Single
5500, 1.846398, 180.215770,Double
6000, 1.824260, 236.808398,Single
6000, 1.871883, 230.783655,Double
6500, 1.855286, 296.045994,Single
6500, 1.929251, 284.696038,Double
7000, 2.085220, 328.982092,Single
7000, 2.270471, 302.139900,Double
7500, 1.843787, 457.617845,Single
7500, 2.480414, 340.164967,Double
8000, 2.182760, 469.130724,Single
8000, 3.289754, 311.269504,Double
8500, 2.300446, 533.918223,Single
8500, 3.056866, 401.800399,Double
9000, 2.689370, 542.134419,Single
9000, 3.146428, 463.382666,Double
9500, 2.610519, 656.861770,Single
9500, 3.420895, 501.257716,Double
10000, 2.844320, 703.155651,Single
10000, 3.914206, 510.959269,Double
10500, 3.171399, 730.040679,Single
10500, 4.417369, 524.124155,Double
11000, 3.017938, 882.059065,Single
11000, 5.486188, 485.218482,Double
11500, 3.516975, 864.876784,Single
11500, 4.924673, 617.655167,Double
12000, 4.325312, 799.017592,Single
12000, 5.780082, 597.915384,Double
12500, 4.514267, 865.312132,Single
12500, 7.695561, 507.597800,Double
13000, 4.039756, 1087.689477,Single
13000, 7.241130, 606.811386,Double
13500, 4.536059, 1084.807276,Single
13500, 7.952714, 618.751043,Double
14000, 5.658579, 969.854848,Single
14000, 8.257792, 664.584466,Double
14500, 5.199674, 1172.621635,Single
14500, 10.079208, 604.933443,Double
15000, 5.731561, 1177.689654,Single
15000, 10.340514, 652.772192,Double
15500, 6.280672, 1185.820520,Single
15500, 10.809643, 688.991309,Double
16000, 7.432839, 1102.136032,Single
16000, 12.353968, 663.106767,Double
16500, 7.349123, 1222.492866,Single
16500, 13.051632, 688.362212,Double
17000, 9.095600, 1080.302511,Single
17000, 15.517849, 633.206325,Double
17500, 8.121165, 1319.853662,Single
17500, 19.219970, 557.688170,Double
18000, 8.963818, 1301.231167,Single
18000, 17.902618, 651.524839,Double
18500, 8.795508, 1439.740548,Single
18500, 19.119423, 662.323847,Double
19000, 10.801638, 1269.992530,Single
19000, 26.580733, 516.088094,Double
19500, 11.560231, 1282.824750,Single
19500, 25.560331, 580.186138,Double
20000, 12.806387, 1249.376574,Single
20000, 22.974642, 696.420005,Double
