Matrix Size (n),Seconds,GFLOPS,Precision
2000, 1.311802, 12.196959,Single
2000, 1.231520, 12.992077,Double
2500, 1.313320, 23.794662,Single
2500, 1.124325, 27.794459,Double
3000, 1.239574, 43.563367,Single
3000, 1.440517, 37.486539,Double
3500, 1.230963, 69.660905,Single
3500, 1.471814, 58.261447,Double
4000, 1.323006, 96.749379,Single
4000, 1.719379, 74.445495,Double
4500, 1.545829, 117.897883,Single
4500, 1.577703, 115.516023,Double
5000, 1.631627, 153.221330,Single
5000, 1.653529, 151.191742,Double
5500, 1.930629, 172.353149,Single
5500, 1.750351, 190.104774,Double
6000, 1.665559, 259.372389,Single
6000, 2.473512, 174.650461,Double
6500, 1.759240, 312.208727,Single
6500, 2.001782, 274.380467,Double
7000, 2.101159, 326.486504,Single
7000, 2.174617, 315.457845,Double
7500, 2.005622, 420.692483,Single
7500, 2.461556, 342.771009,Double
8000, 2.132331, 480.225569,Single
8000, 2.876620, 355.973339,Double
8500, 2.795567, 439.356350,Single
8500, 3.080992, 398.654090,Double
9000, 2.592679, 562.352743,Single
9000, 3.088374, 472.093051,Double
9500, 2.559520, 669.949851,Single
9500, 3.463370, 495.110317,Double
10000, 2.882148, 693.926958,Single
10000, 3.902199, 512.531512,Double
10500, 3.062509, 755.997772,Single
10500, 4.148258, 558.125869,Double
11000, 3.155766, 843.535414,Single
11000, 5.409011, 492.141724,Double
11500, 3.465568, 877.706103,Single
11500, 4.998359, 608.549739,Double
12000, 3.851396, 897.336880,Single
12000, 5.744894, 601.577652,Double
12500, 3.863601, 1011.038607,Single
12500, 6.170082, 633.095290,Double
13000, 4.291543, 1023.874112,Single
13000, 6.842939, 642.121802,Double
13500, 4.714237, 1043.806310,Single
13500, 8.726992, 563.854083,Double
14000, 5.195444, 1056.310201,Single
14000, 9.377574, 585.225988,Double
14500, 5.429759, 1122.931902,Single
14500, 9.332523, 653.333477,Double
15000, 5.243386, 1287.336168,Single
15000, 10.735531, 628.753270,Double
15500, 7.699337, 967.323514,Single
15500, 9.427733, 789.983116,Double
16000, 7.605112, 1077.170150,Single
16000, 13.179652, 621.564217,Double
16500, 7.480723, 1200.986877,Single
16500, 13.824810, 649.864286,Double
17000, 8.622458, 1139.582274,Single
17000, 16.253235, 604.556588,Double
17500, 7.779431, 1377.832193,Single
17500, 18.149283, 590.588085,Double
18000, 8.892825, 1311.619170,Single
18000, 16.557188, 704.467432,Double
18500, 8.923530, 1419.085295,Single
18500, 16.781800, 754.582337,Double
19000, 10.176753, 1347.974145,Single
19000, 24.240139, 565.920853,Double
19500, 8.841570, 1677.275722,Single
19500, 19.268856, 769.622772,Double
20000, 12.981193, 1232.552398,Single
20000, 20.245200, 790.310793,Double
