Matrix Size (n),Seconds,GFLOPS,Precision
2000, 0.059436, 269.196205,Single
2000, 0.091059, 175.709582,Double
2500, 0.076488, 408.560120,Single
2500, 0.172242, 181.430446,Double
3000, 0.134439, 401.668220,Single
3000, 0.290100, 186.142761,Double
3500, 0.162198, 528.673822,Single
3500, 0.418354, 204.969920,Double
4000, 0.241286, 530.490202,Single
4000, 0.508033, 251.952025,Double
4500, 0.347624, 524.273060,Single
4500, 0.597958, 304.787160,Double
5000, 0.443838, 563.268725,Single
5000, 0.875304, 285.615168,Double
5500, 0.517971, 642.410097,Single
5500, 1.172326, 283.837459,Double
6000, 0.630114, 685.590583,Single
6000, 1.444662, 299.031884,Double
6500, 0.854034, 643.124354,Single
6500, 1.624807, 338.040089,Double
7000, 0.983699, 697.367746,Single
7000, 1.802355, 380.613216,Double
7500, 1.226291, 688.050650,Single
7500, 2.038899, 413.826276,Double
8000, 1.171313, 874.232478,Single
8000, 2.279895, 449.143448,Double
8500, 1.528950, 803.329315,Single
8500, 2.662703, 461.279419,Double
9000, 1.734967, 840.361920,Single
9000, 3.152570, 462.479812,Double
9500, 2.003004, 856.089149,Single
9500, 3.448053, 497.309601,Double
10000, 2.074089, 964.278593,Single
10000, 4.162105, 480.526032,Double
10500, 2.146667, 1078.532521,Single
10500, 2.866760, 807.619144,Double
11000, 2.435751, 1092.886704,Single
11000, 5.086121, 523.385152,Double
11500, 2.319187, 1311.559028,Single
11500, 5.050735, 602.239083,Double
12000, 2.995075, 1153.894329,Single
12000, 5.587703, 618.501035,Double
12500, 3.046691, 1282.128734,Single
12500, 6.646254, 587.737116,Double
13000, 3.515198, 1250.000615,Single
13000, 6.583066, 667.470117,Double
13500, 4.018756, 1224.446090,Single
13500, 7.385005, 666.316432,Double
14000, 4.638074, 1183.249770,Single
14000, 7.215883, 760.544439,Double
14500, 4.681060, 1302.536112,Single
14500, 7.525349, 810.228207,Double
15000, 4.583296, 1472.739112,Single
15000, 9.439734, 715.062543,Double
15500, 4.810436, 1548.248581,Single
15500, 11.140004, 668.558983,Double
16000, 4.446045, 1842.536599,Single
16000, 11.671159, 701.901184,Double
16500, 4.733606, 1897.971839,Single
16500, 12.918469, 695.457806,Double
17000, 4.991585, 1968.512919,Single
17000, 13.540348, 725.682967,Double
17500, 5.404558, 1983.279623,Single
17500, 12.968462, 826.524351,Double
18000, 4.955045, 2353.964553,Single
18000, 14.657022, 795.796013,Double
18500, 6.079034, 2083.102268,Single
18500, 14.055710, 900.932784,Double
19000, 8.034136, 1707.464193,Single
19000, 16.425385, 835.170673,Double
19500, 8.797381, 1685.700469,Single
19500, 17.412421, 851.676510,Double
20000, 10.091492, 1585.494030,Single
20000, 16.227588, 985.975247,Double
