Matrix Size (n),Seconds,GFLOPS,Precision
2000, 0.063802, 250.776836,Single
2000, 0.076403, 209.416099,Double
2500, 0.060679, 515.002874,Single
2500, 0.106327, 293.903287,Double
3000, 0.078689, 686.245156,Single
3000, 0.142965, 377.714075,Double
3500, 0.095712, 895.920381,Single
3500, 0.211679, 405.094236,Double
4000, 0.122313, 1046.493131,Single
4000, 0.300548, 425.888244,Double
4500, 0.158039, 1153.199450,Single
4500, 0.434904, 419.057571,Double
5000, 0.224653, 1112.825426,Single
5000, 0.531493, 470.372641,Double
5500, 0.304417, 1093.073107,Single
5500, 0.684267, 486.286563,Double
6000, 0.418456, 1032.367572,Single
6000, 0.850479, 507.949264,Double
6500, 0.565075, 971.994318,Single
6500, 1.090632, 503.607195,Double
7000, 0.785899, 872.885245,Single
7000, 1.359776, 504.494951,Double
7500, 1.012306, 833.492814,Single
7500, 1.655278, 509.733106,Double
8000, 1.184261, 864.674540,Single
8000, 1.939967, 527.844138,Double
8500, 1.392297, 882.175445,Single
8500, 2.311831, 531.288870,Double
9000, 1.542594, 945.161414,Single
9000, 2.680368, 543.955113,Double
9500, 1.740504, 985.202959,Single
9500, 3.154852, 543.527838,Double
10000, 1.906327, 1049.138185,Single
10000, 3.556282, 562.385092,Double
10500, 2.154705, 1074.509255,Single
10500, 3.980318, 581.674565,Double
11000, 2.425436, 1097.534608,Single
11000, 4.485307, 593.493338,Double
11500, 2.639497, 1152.397419,Single
11500, 5.223544, 582.315336,Double
12000, 2.944740, 1173.617858,Single
12000, 5.620553, 614.886096,Double
12500, 3.270540, 1194.374797,Single
12500, 6.335172, 616.597318,Double
13000, 3.281280, 1339.111481,Single
13000, 7.176305, 612.292822,Double
13500, 3.990393, 1233.149292,Single
13500, 8.422462, 584.241256,Double
14000, 4.367121, 1256.663222,Single
14000, 9.766238, 561.935923,Double
14500, 4.741565, 1285.914981,Single
14500, 10.418668, 585.223560,Double
15000, 5.115710, 1319.464965,Single
15000, 12.285147, 549.443968,Double
15500, 5.079068, 1466.361644,Single
15500, 10.355091, 719.235595,Double
16000, 6.845965, 1196.617289,Single
16000, 13.301012, 615.893007,Double
16500, 7.511250, 1196.105884,Single
16500, 15.728373, 571.212931,Double
17000, 8.200094, 1198.278980,Single
17000, 16.477265, 596.336818,Double
17500, 7.780910, 1377.570289,Single
17500, 17.784386, 602.705655,Double
18000, 8.101302, 1439.768533,Single
18000, 18.672217, 624.671418,Double
18500, 9.109513, 1390.112703,Single
18500, 19.202200, 659.468716,Double
19000, 11.106924, 1235.085374,Single
19000, 21.140414, 648.899322,Double
19500, 10.284111, 1442.005990,Single
19500, 21.580438, 687.184850,Double
20000, 13.038078, 1227.174697,Single
20000, 21.597107, 740.839975,Double
