Matrix Size (n),Seconds,GFLOPS,Precision
2000, 0.167292, 95.641323,Single
2000, 0.360601, 44.370423,Double
2500, 0.323851, 96.494908,Single
2500, 0.710839, 43.962132,Double
3000, 0.602043, 89.694557,Single
3000, 1.203604, 44.865263,Double
3500, 0.936608, 91.553771,Single
3500, 1.801196, 47.607257,Double
4000, 1.446349, 88.498683,Single
4000, 2.921906, 43.807018,Double
4500, 1.877483, 97.071452,Single
4500, 4.158009, 43.831070,Double
5000, 2.576313, 97.037910,Single
5000, 5.728889, 43.638477,Double
5500, 3.454580, 96.321405,Single
5500, 7.666555, 43.402803,Double
6000, 4.805824, 89.890933,Single
6000, 10.045820, 43.002960,Double
6500, 6.137202, 89.495187,Single
6500, 12.717720, 43.187771,Double
7000, 7.139443, 96.085923,Single
7000, 15.908861, 43.120624,Double
7500, 9.511637, 88.707126,Single
7500, 19.633555, 42.974898,Double
8000, 11.575502, 88.462685,Single
8000, 23.981689, 42.699244,Double
8500, 14.252217, 86.179574,Single
8500, 27.968354, 43.915706,Double
9000, 15.599787, 93.462812,Single
9000, 31.930877, 45.661132,Double
9500, 19.427843, 88.262499,Single
9500, 39.312960, 43.617931,Double
10000, 21.150856, 94.558819,Single
10000, 45.627465, 43.833248,Double
10500, 26.274954, 88.116234,Single
10500, 51.426881, 45.020230,Double
11000, 29.963743, 88.840702,Single
11000, 62.988972, 42.261366,Double
11500, 32.237857, 94.353356,Single
11500, 65.144742, 46.692180,Double
12000, 36.366871, 95.031547,Single
12000, 73.996425, 46.704959,Double
12500, 41.882258, 93.267416,Single
12500, 84.483919, 46.236610,Double
13000, 46.274937, 94.954208,Single
13000, 94.430630, 46.531512,Double
13500, 51.708675, 95.162950,Single
13500, 106.314877, 46.284679,Double
14000, 57.659266, 95.179845,Single
14000, 121.045489, 45.338327,Double
14500, 64.108784, 95.107872,Single
14500, 136.502684, 44.667620,Double
15000, 72.786067, 92.737529,Single
15000, 143.485650, 47.043032,Double
15500, 77.944367, 95.552127,Single
15500, 161.613928, 46.083590,Double
16000, 86.695543, 94.491594,Single
16000, 176.623692, 46.381094,Double
16500, 103.475189, 86.825162,Single
16500, 192.059399, 46.778497,Double
17000, 105.531894, 93.109292,Single
17000, 212.609204, 46.216249,Double
17500, 113.220713, 94.671281,Single
17500, 229.885058, 46.626562,Double
18000, 122.826659, 94.963098,Single
