Size,GFLOPs
2000,249
2500,287
3000,313
3500,328
4000,336
4500,358
5000,381
5500,395
6000,428
6500,446
7000,469
7500,489
8000,498
8500,540
9000,545
9500,555
10000,599
10500,634
11000,659
11500,709
12000,703
12500,752
13000,776
13500,718
14000,748
14500,756
15000,765
15500,882
16000,911
16500,816
17000,831
17500,842
18000,777
18500,822
19000,815
19500,836
20000,919
